tag,event_type,event_site,event_date,event_release_site,event_release_date,mark_date,cth_count
3DD.003D28497D,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D28497E,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D28497F,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284980,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284981,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284982,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284983,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284984,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D284985,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284986,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D284987,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D284988,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284989,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D28498A,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D28498B,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
