tag_code,release_site,release_date,release_year,release_lat,release_lon
3DD.003D284AB0,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AB5,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AB6,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AB9,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284ABC,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284ABE,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284AC0,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AC1,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AC2,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AC3,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AC5,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AC6,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AC7,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AC8,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284AC9,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284ACA,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284ACB,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284ACE,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AD0,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284AD3,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AD8,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284AD9,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284ADC,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284ADD,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AE0,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284AE1,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AE2,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AE5,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284AE6,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284AE8,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284AE9,Methow River,8/17/2018,2018,48.05039,-119.904106
3DD.003D284AEA,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AEE,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284AF1,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284AF2,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284AF4,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284AF5,Omak Creek,8/24/2018,2018,48.353831,-119.288554
3DD.003D284AF7,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284AF8,Omak Creek,8/24/2018,2018,48.353831,-119.288554
3DD.003D284AF9,Omak Creek,8/24/2018,2018,48.353831,-119.288554
3DD.003D284AFA,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284AFC,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284AFF,Omak Creek,8/24/2018,2018,48.353831,-119.288554
3DD.003D284B00,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284B01,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284B02,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284B03,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284B04,Omak Creek,8/24/2018,2018,48.353831,-119.288554
3DD.003D284B05,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284B07,Omak Creek,8/24/2018,2018,48.353831,-119.288554
3DD.003D284B09,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284B0A,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284B0B,Omak Creek,8/24/2018,2018,48.353831,-119.288554
3DD.003D284B0C,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284B0D,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284B0E,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284B0F,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003D284B10,Omak Creek,8/24/2018,2018,48.353831,-119.288554
3DD.003D284B11,Methow River,8/24/2018,2018,48.05039,-119.904106
